domain,ip,http_status,http_title,whois_info,source_file
ftp.nsls2.bnl.gov,130.199.4.59,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
clearpass2.bnl.gov,130.199.154.31,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
idds02.sdcc.bnl.gov,192.153.161.15,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
cssh01.sdcc.bnl.gov,130.199.57.28,,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
stargw3.starp.bnl.gov,130.199.60.93,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
cvmfs-s1c.sdcc.bnl.gov,192.12.15.238,403,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
dcint-frontend001.sdcc.bnl.gov,192.12.15.20,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
pandaharvester01.sdcc.bnl.gov,192.153.161.17,200,Welcome To The CILogon OpenID Connect Authorization Service,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
webproxy4.nsls2.bnl.gov,198.125.209.55,,,CIDR:           198.124.0.0/14; NetName:        ESNET-CIDR-A; OriginAS:; Organization:   ESnet (ENSN-Z); CIDR:           198.125.208.0/20; NetName:        BNLSCIDMZ; Parent:         ESNET-CIDR-A (NET-198-124-0-0-1); OriginAS:; Organization:   Brookhaven National Laboratory (BNL),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
cr-metro.em.bnl.gov,130.199.119.43,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
globustest01.sdcc.bnl.gov,198.125.208.31,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
eicdtn02.sdcc.bnl.gov,198.125.208.48,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
gridgk08.sdcc.bnl.gov,130.199.185.91,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
npps.bnl.gov,130.199.22.180,200,BNL Nuclear and Particle Physics Software Group,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
commvault2.bnl.gov,130.199.78.157,,,,outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
nagios-cloud.bnl.gov,54.83.9.163,,,CIDR:           54.64.0.0/11; NetName:        AMAZON-2011L; OriginAS:; Organization:   Amazon Technologies Inc. (AT-88-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
f5-smtp-vip.bnl.gov,130.199.3.166,,,CIDR:           130.199.0.0/16; NetName:        YAPNET; OriginAS:; Organization:   Brookhaven National Laboratory (BNL-Z),outputs/recon_outputs/bnl.gov/bnl.gov_recon.csv
